Store,Date,Forecast
1,2012-11-02,1789089.412717606
2,2012-11-02,1984896.3408393138
3,2012-11-02,442861.3936523633
4,2012-11-02,2257552.3284004615
5,2012-11-02,329878.6392789843
6,2012-11-02,1582307.394598235
7,2012-11-02,554939.782492958
8,2012-11-02,974636.4712128395
9,2012-11-02,590666.4226364134
10,2012-11-02,1970029.6283464346
11,2012-11-02,1403952.8208715592
12,2012-11-02,1088103.907451684
13,2012-11-02,2113851.3911053515
14,2012-11-02,1925856.649775998
15,2012-11-02,606020.2397785581
16,2012-11-02,504080.3160311012
17,2012-11-02,1019389.1932259738
18,2012-11-02,1146855.5443960316
19,2012-11-02,1485089.4839038488
20,2012-11-02,2151257.8743166006
21,2012-11-02,736852.922143941
22,2012-11-02,1128609.3018502146
23,2012-11-02,1482871.6602605893
24,2012-11-02,1415282.4126948551
25,2012-11-02,736026.257138203
26,2012-11-02,1033591.0678348626
27,2012-11-02,1702588.1240475064
28,2012-11-02,1492703.2792566563
29,2012-11-02,610690.8636605466
30,2012-11-02,442071.4535255902
31,2012-11-02,1451598.3041065172
32,2012-11-02,1244109.9891943515
33,2012-11-02,264563.36640900205
34,2012-11-02,1012207.7876204695
35,2012-11-02,717398.8997891173
36,2012-11-02,287400.16803327674
37,2012-11-02,568978.4931323113
38,2012-11-02,443455.51351771853
39,2012-11-02,1693548.314016119
40,2012-11-02,1038262.2979912555
41,2012-11-02,1413417.7638145941
42,2012-11-02,604330.353654008
43,2012-11-02,647272.2104602034
44,2012-11-02,344835.894591389
45,2012-11-02,803726.6060911125
1,2012-11-09,1675601.9767087349
2,2012-11-09,2031821.2809419017
3,2012-11-09,426210.8943366147
4,2012-11-09,2213843.797891202
5,2012-11-09,320311.21072193934
6,2012-11-09,1618448.8868122522
7,2012-11-09,560488.9459524436
8,2012-11-09,963421.9569206414
9,2012-11-09,599963.1452879511
10,2012-11-09,2118460.6828354234
11,2012-11-09,1361933.846622262
12,2012-11-09,1122136.3500471127
13,2012-11-09,2109850.738351228
14,2012-11-09,2035890.9635174442
15,2012-11-09,614758.7535183688
16,2012-11-09,506577.8865212539
17,2012-11-09,982861.3338270658
18,2012-11-09,1107508.4943986896
19,2012-11-09,1512746.4282846004
20,2012-11-09,2218167.3296878324
21,2012-11-09,766364.1939172738
22,2012-11-09,1089624.4375396834
23,2012-11-09,1457367.1037850424
24,2012-11-09,1429102.3376025413
25,2012-11-09,771144.8225822307
26,2012-11-09,1097379.3273683696
27,2012-11-09,1777140.0459057821
28,2012-11-09,1455150.0636575609
29,2012-11-09,549258.8073987318
30,2012-11-09,436599.41241456143
31,2012-11-09,1475385.966768437
32,2012-11-09,1260896.14744283
33,2012-11-09,276913.5790122927
34,2012-11-09,1011738.7379424542
35,2012-11-09,903777.0390390957
36,2012-11-09,291746.97568020044
37,2012-11-09,535509.6831918119
38,2012-11-09,432343.89336925594
39,2012-11-09,1635849.7005733699
40,2012-11-09,1052866.7447920088
41,2012-11-09,1417638.158513226
42,2012-11-09,634988.4897753295
43,2012-11-09,634434.8125829002
44,2012-11-09,342965.6745490616
45,2012-11-09,804139.4922817866
1,2012-11-16,1695337.769337749
2,2012-11-16,2000724.6708910635
3,2012-11-16,435766.16597739194
4,2012-11-16,2258350.7858876293
5,2012-11-16,326071.8343215134
6,2012-11-16,1610877.4790767692
7,2012-11-16,562518.2010522956
8,2012-11-16,940564.9762811708
9,2012-11-16,562132.0369598793
10,2012-11-16,1985066.1027080254
11,2012-11-16,1353035.293888178
12,2012-11-16,1057883.3129362755
13,2012-11-16,2144191.3375360193
14,2012-11-16,1936038.7194943433
15,2012-11-16,623902.2458188103
16,2012-11-16,502604.2549569317
17,2012-11-16,967670.8464927041
18,2012-11-16,1136939.546994395
19,2012-11-16,1461347.8473758078
20,2012-11-16,2192424.793081481
21,2012-11-16,765422.3008715465
22,2012-11-16,1051552.9986323498
23,2012-11-16,1444408.8435827424
24,2012-11-16,1364614.9101050487
25,2012-11-16,771061.9333594205
26,2012-11-16,1017732.5472645634
27,2012-11-16,1770761.2171227604
28,2012-11-16,1287490.3878931936
29,2012-11-16,523861.0661414094
30,2012-11-16,437623.6384954851
31,2012-11-16,1490643.4586197606
32,2012-11-16,1272727.0154299687
33,2012-11-16,268948.4914342324
34,2012-11-16,1012713.5723880135
35,2012-11-16,853113.6406958919
36,2012-11-16,288959.12435302633
37,2012-11-16,535608.2828504025
38,2012-11-16,454341.4786656798
39,2012-11-16,1672067.7515823587
40,2012-11-16,952792.4444428589
41,2012-11-16,1383479.0259751712
42,2012-11-16,593171.5311977462
43,2012-11-16,644580.485056461
44,2012-11-16,343663.49199780193
45,2012-11-16,794026.5065390461
1,2012-11-23,2061171.3893107625
2,2012-11-23,2432035.242379899
3,2012-11-23,546095.4801198414
4,2012-11-23,2889167.777426598
5,2012-11-23,498385.8821971802
6,2012-11-23,2257342.2054464677
7,2012-11-23,988248.292786717
