Store,Date,Weekly_Sales,IsHoliday,Type,Size,Temperature,Fuel_Price,CPI,Unemployment,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Year,WeekOfYear,Month,HolidayName,lag_1,lag_2,lag_52,rolling_mean_4,rolling_std_4
1,2011-02-04,1606629.58,False,A,151315,42.27,2.989,212.5668812,7.742,0.0,0.0,0.0,0.0,0.0,2011,5,2,NoHoliday,1316899.31,1327405.42,1643690.9,1370012.7425,59611.18760559293
1,2011-02-11,1649614.93,True,A,151315,36.39,3.022,212.9367046,7.742,0.0,0.0,0.0,0.0,0.0,2011,6,2,SuperBowl,1606629.58,1316899.31,1641957.44,1410487.0675,134799.0054744623
1,2011-02-18,1686842.78,False,A,151315,57.36,3.045,213.2478853,7.742,0.0,0.0,0.0,0.0,0.0,2011,7,2,NoHoliday,1649614.93,1606629.58,1611968.17,1475137.31,177573.11444171294
1,2011-02-25,1456800.28,False,A,151315,62.9,3.065,213.535609,7.742,0.0,0.0,0.0,0.0,0.0,2011,8,2,NoHoliday,1686842.78,1649614.93,1409727.59,1564996.65,168614.27745161921
1,2011-03-04,1636263.41,False,A,151315,59.58,3.288,213.8233327,7.742,0.0,0.0,0.0,0.0,0.0,2011,9,3,NoHoliday,1456800.28,1686842.78,1554806.68,1599971.8924999998,100918.14784923593
1,2011-03-11,1553191.63,False,A,151315,53.56,3.459,214.1110564,7.742,0.0,0.0,0.0,0.0,0.0,2011,10,3,NoHoliday,1636263.41,1456800.28,1439541.59,1607380.35,102642.78861736725
1,2011-03-18,1576818.06,False,A,151315,62.76,3.488,214.3627114,7.742,0.0,0.0,0.0,0.0,0.0,2011,11,3,NoHoliday,1553191.63,1636263.41,1472515.79,1583274.525,100722.25936899985
1,2011-03-25,1541102.3800000001,False,A,151315,69.97,3.473,214.5999389,7.742,0.0,0.0,0.0,0.0,0.0,2011,12,3,NoHoliday,1576818.06,1553191.63,1404429.92,1555768.3450000002,74663.38536161251
1,2011-04-01,1495064.75,False,A,151315,59.17,3.524,214.8371664,7.682,0.0,0.0,0.0,0.0,0.0,2011,13,4,NoHoliday,1541102.3800000001,1576818.06,1594968.28,1576843.87,42298.79810902568
1,2011-04-08,1614259.35,False,A,151315,67.84,3.622,215.0743939,7.682,0.0,0.0,0.0,0.0,0.0,2011,14,4,NoHoliday,1495064.75,1541102.3800000001,1545418.53,1541544.205,34353.2739930195
1,2011-04-15,1559889.0,False,A,151315,71.27,3.743,215.2918561,7.682,0.0,0.0,0.0,0.0,0.0,2011,15,4,NoHoliday,1614259.35,1495064.75,1466058.28,1556811.135,50859.13716288407
1,2011-04-22,1564819.81,False,A,151315,72.99,3.807,215.4599053,7.682,0.0,0.0,0.0,0.0,0.0,2011,16,4,NoHoliday,1559889.0,1614259.35,1391256.12,1552578.87,49320.392792910316
1,2011-04-29,1455090.69,False,A,151315,72.03,3.81,215.6279544,7.682,0.0,0.0,0.0,0.0,0.0,2011,17,4,NoHoliday,1564819.81,1559889.0,1425100.71,1558508.2275,48904.686563604286
1,2011-05-06,1629391.28,False,A,151315,64.61,3.906,215.7960035,7.682,0.0,0.0,0.0,0.0,0.0,2011,18,5,NoHoliday,1455090.69,1564819.81,1603955.1199999999,1548514.7125,66946.83452985453
1,2011-05-13,1604775.58,False,A,151315,75.64,3.899,215.9640526,7.682,0.0,0.0,0.0,0.0,0.0,2011,19,5,NoHoliday,1629391.28,1455090.69,1494251.5,1552297.695,72127.3271026028
