Store,Forecast_8_Week_Total
1,14979171.793920115
2,17878954.94531682
3,3864103.9387150053
4,20345637.07846487
5,3111328.7771206154
6,15682551.102447245
7,5743939.207806006
8,8557115.290113958
9,5471651.094561839
10,18991616.228755362
11,13145541.330232147
12,10025132.519735878
13,19843650.300662257
14,18502486.178805538
15,6287331.075608416
16,4993504.697224129
17,8737220.99557575
18,10987928.963942457
19,13651520.425938062
20,19887140.881218422
21,7504732.011574807
22,10646093.433027076
23,14438965.261609644
24,12507871.927329559
25,7567320.679960105
26,9499020.73958207
27,15970066.795676852
28,12104238.84355355
29,5610924.802102026
30,3533259.9689851096
31,13252681.647348957
32,11676794.443828188
33,2143243.194121223
34,9103039.379840901
35,8643625.9751845
36,2329177.0859669074
37,4392610.995926409
38,3512407.8614655645
39,15469219.95128768
40,9396243.069103284
41,13211903.43996415
42,4792940.9927700125
43,5209411.324634805
44,2738511.9994524387
45,7906570.440774454
