Window,MAE,RMSE,WAPE,Model
1,55770.30741666666,74660.35715734487,0.05245134694260315,Seasonal Naive
2,54912.42499999999,80541.27143061093,0.05147736519810239,Seasonal Naive
3,52132.87255555555,80142.40776726766,0.049867984083890746,Seasonal Naive
4,55469.12652777779,89703.61391440417,0.053426825176868545,Seasonal Naive
1,56309.39439567445,77957.57941573938,0.05295835218388548,Gradient Boosting - Core
2,60568.19258683589,92129.4189229924,0.0567793348988239,Gradient Boosting - Core
3,62665.56240101492,97225.33704752407,0.05994308610352716,Gradient Boosting - Core
4,64385.36184337216,103531.72264329954,0.06201477626356047,Gradient Boosting - Core
1,43456.58581351928,63006.31799397637,0.040870430252724986,Gradient Boosting - Core + External
2,42592.426098554184,69899.73213962832,0.039928046757149435,Gradient Boosting - Core + External
3,45038.00827052569,70903.16562758971,0.043081352887495435,Gradient Boosting - Core + External
4,48990.80875911568,75974.47331367384,0.04718703067256561,Gradient Boosting - Core + External
